"SchoolName","SchoolSystem","SchoolGrade","SchoolGradeLetter","SchoolGradeNumber","GrowtStatus","GradeLevel","FreeReduced","Latitude","Longitude"
"Marion Elementary","McDowell County Schools","C - 57","C","57","NotMet","56.1","90","35.28852844","-81.52500916"
"North Elementary","Caswell County Schools","C - 64","C","64","Met","59.8","87","35.24327850","-81.37199402"
"North Elementary","Cleveland County Schools","B - 79","B","79","Met","80.3","71","35.24327850","-81.37199402"
"North Elementary","Person County Schools","D - 41","D","41","Met","30.8","100","35.24327850","-81.37199402"
"North Shelby","Cleveland County Schools","NA - NA","N","","NA","63.4","80","35.31044300","-81.53393500"
"Shelby High","Cleveland County Schools","C - 62","C","62","NotMet","46.8","61","35.27407455","-81.53691101"
"Shelby Middle","Cleveland County Schools","D - 46","D","46","NotMet","43.3","71","35.26686363","-81.54300906"
"Springmore Elementary","Cleveland County Schools","B - 74","B","74","Exceeded","69.4","52","35.27630234","-81.66757965"
"Township Three Elementary","Cleveland County Schools","C - 57","C","57","Met","53.2","81","35.21709061","-81.53273773"
"Union Elementary","Brunswick County Schools","B - 75","B","75","Exceeded","71.8","99","35.38950428","-81.61649019"
"Union Elementary","Cleveland County Schools","C - 62","C","62","Met","56.5","72","35.38950428","-81.61649019"
"Union Elementary","Lincoln County Schools","B - 79","B","79","Exceeded","76.5","51","35.38950428","-81.61649019"
"Union Elementary","Robeson County Schools","C - 57","C","57","Exceeded","48.2","83","35.38950428","-81.61649019"
"Union Elementary","Sampson County Schools","B - 74","B","74","Exceeded","71.3","91","35.38950428","-81.61649019"
"Union Elementary","Union County Public Schools","B - 70","B","70","Met","67.1","62","35.38950428","-81.61649019"
"Washington Elementary","Cleveland County Schools","C - 68","C","68","Met","63.6","83","35.33538871","-81.42109931"
"Washington Elementary","Guilford County Schools","F - 38","F","38","NotMet","30.8","100","35.33538871","-81.42109931"
"Washington Elementary","Wake County Schools","B - 73","B","73","Met","70.0","29","35.33538871","-81.42109931"
"West Elementary","Cleveland County Schools","B - 80","B","80","Exceeded","78.8","51","35.23936830","-81.35109633"
"Pinnacle Classical Academy","Charter Schools","B - 73","B","73","Met","69.9","26","35.25994110","-81.50135040"
"Acme Delco Middle","Columbus County Schools","F - 39","F","39","NotMet","33.5","79","34.31449302","-78.21694113"
"Acme Delco Elementary","Columbus County Schools","D - 50","D","50","Met","42.0","97","34.34730984","-78.25472608"
"Cerro Gordo Elementary","Columbus County Schools","C - 59","C","59","Met","55.0","94","34.32910435","-78.93008150"
"Chadbourn Middle","Columbus County Schools","D - 51","D","51","Exceeded","41.7","100","34.31643762","-78.83567914"
"Chadbourn Elementary","Columbus County Schools","D - 42","D","42","Met","33.3","100","34.32582855","-78.82164001"
"East Columbus High","Columbus County Schools","D - 54","D","54","NotMet","36.5","60","34.33432388","-78.50227356"
"Evergreen Elementary","Columbus County Schools","D - 52","D","52","Met","45.4","100","34.40782584","-78.89787152"
"Guideway Elementary","Columbus County Schools","F - 39","F","39","Met","31.3","100","34.06651743","-78.69917013"
"Hallsboro-Artesia Elementary","Columbus County Schools","D - 49","D","49","Met","40.5","100","34.31062996","-78.57932366"
"Hallsboro Middle","Columbus County Schools","D - 50","D","50","Met","42.1","78","34.32079487","-78.59386593"
"Nakina Middle","Columbus County Schools","C - 57","C","57","NotMet","53.9","71","34.10847992","-78.65388907"
"Old Dock Elementary","Columbus County Schools","C - 68","C","68","Exceeded","64.0","71","34.16481400","-78.59577942"
"South Columbus High","Columbus County Schools","C - 61","C","61","Met","44.3","49","34.17306137","-78.81228638"
"Tabor City Elementary","Columbus County Schools","D - 43","D","43","Met","36.3","100","34.15180765","-78.87299873"
"CCCA - Fair Bluff /Southeastern Campuses","Columbus County Schools","C - 66","C","66","Met","49.7","49","34.33339310","-78.78509521"
"Tabor City Middle","Columbus County Schools","D - 43","D","43","NotMet","36.9","100","34.14882705","-78.88649695"
"West Columbus High","Columbus County Schools","C - 57","C","57","NotMet","40.9","71","34.32763852","-78.92422892"
"Williams Township","Columbus County Schools","C - 57","C","57","Met","51.7","81","34.20388006","-78.76316428"
"Central Middle","Surry County Schools","C - 68","C","68","Exceeded","61.8","70","34.29247665","-78.67752075"
"Central Middle","Whiteville City Schools","C - 63","C","63","Exceeded","57.0","68","34.29247665","-78.67752075"
"Edgewood Elementary","Whiteville City Schools","C - 64","C","64","Exceeded","56.8","80","34.33081761","-78.69826086"
"North Whiteville Academy","Whiteville City Schools","NA - NA","N","","NA","12.9","91","34.32713318","-78.71168518"
"Whiteville High","Whiteville City Schools","C - 61","C","61","NotMet","47.6","57","34.33406308","-78.70609358"
"Whiteville Primary","Whiteville City Schools","I - NA","I","","NA","NA","86","34.33894671","-78.71164173"
"Flemington Academy","Charter Schools","F - 33","F","33","Met","17.9","93","34.31848213","-78.52379188"
"Columbus Charter School","Charter Schools","B - 70","B","70","Exceeded","64.2","42","34.40415859","-78.77267540"
"Albert H Bangert Elementary","Craven County Schools","C - 57","C","57","Met","52.3","57","35.08309100","-77.08300700"
"Ben D Quinn Elementary","Craven County Schools","C - 65","C","65","Met","62.9","58","35.09062900","-77.13040100"
"Bridgeton Elementary","Craven County Schools","C - 68","C","68","Exceeded","63.5","63","35.15404129","-77.04199219"
"Brinson Memorial Elementary","Craven County Schools","B - 70","B","70","Met","68.4","43","35.06852300","-77.01636500"
"Craven Early College High","Craven County Schools","A - 85","A","85","Exceeded","72.9","42","35.11083900","-77.10411000"
"Creekside Elementary","Craven County Schools","B - 73","B","73","Exceeded","69.6","28","35.02708000","-77.02127000"
"Creekside Elementary","Durham Public Schools","C - 66","C","66","Met","62.6","44","35.02708000","-77.02127000"
"Creekside Elementary","Pitt County Schools","C - 57","C","57","Exceeded","49.3","50","35.02708000","-77.02127000"
"Vanceboro-Farm Life Elementary","Craven County Schools","D - 52","D","52","NotMet","48.5","80","35.30879900","-77.14588100"
"Early College EAST High","Craven County Schools","B - 81","B","81","Met","70.0","30","34.87857056","-76.89733887"
"Grover C Fields Middle","Craven County Schools","C - 60","C","60","Met","54.6","68","35.10885403","-77.07187526"
"Graham A Barden Elementary","Craven County Schools","B - 79","B","79","Exceeded","77.0","67","34.89786911","-76.91661072"
"H J MacDonald Middle","Craven County Schools","C - 59","C","59","NotMet","58.2","49","35.11734000","-77.09757200"
"Havelock Elementary","Craven County Schools","C - 58","C","58","Met","54.7","66","34.87729020","-76.90241329"
"Havelock High","Craven County Schools","C - 68","C","68","Met","52.8","45","34.87995148","-76.89309692"
"Havelock Middle","Craven County Schools","C - 68","C","68","Exceeded","62.0","68","34.87760925","-76.89947510"
"J T Barber Elementary","Craven County Schools","C - 57","C","57","Met","51.2","85","35.11948000","-77.06388800"
"James W Smith Elementary","Craven County Schools","C - 55","C","55","Exceeded","45.8","80","35.25033569","-77.29076385"
"New Bern High","Craven County Schools","C - 66","C","66","NotMet","53.3","50","35.10128784","-77.11617279"
"Oaks Road Elementary","Craven County Schools","D - 51","D","51","Met","43.3","92","35.12646484","-77.06663513"
"Roger R Bell Elementary","Craven County Schools","D - 50","D","50","Met","43.4","72","34.88105000","-76.87975300"
"Trent Park Elementary","Craven County Schools","C - 59","C","59","Exceeded","52.7","76","35.10982513","-77.08055878"
"Tucker Creek Middle","Craven County Schools","B - 72","B","72","Met","70.7","42","35.10982513","-77.08055878"
"West Craven High","Craven County Schools","C - 65","C","65","Met","48.1","57","35.23747253","-77.13829803"
"West Craven Middle","Craven County Schools","C - 60","C","60","Exceeded","51.5","72","35.07934570","-77.11846924"
"W Jesse Gurganus Elementary","Craven County Schools","B - 79","B","79","Met","78.1","44","34.91055298","-76.94187927"
"Arthur W Edwards Elementary","Craven County Schools","B - 74","B","74","Exceeded","70.4","53","34.91002655","-76.92818451"
"Alma O Easom Elementary","Cumberland County Schools","I - NA","I","","NA","NA","40","35.06111526","-78.90831757"
"Armstrong Elementary","Cumberland County Schools","B - 70","B","70","Met","67.3","65","35.09151459","-78.79136658"
"Ashley Elementary","Cumberland County Schools","C - 55","C","55","NotMet","51.1","59","35.03821100","-78.90647100"
"Loyd E Auman Elementary","Cumberland County Schools","D - 52","D","52","Met","46.6","69","35.03799000","-79.01078000"
"Beaver Dam Elementary","Cumberland County Schools","A - 85","A","85","Met","84.5","58","34.97382736","-78.50919342"
"Lillian Black Elementary","Cumberland County Schools","D - 48","D","48","Met","42.4","76","35.16723251","-78.97117615"
"Jack Britt High","Cumberland County Schools","A - 88","A","88","Exceeded","81.3","28","34.97766100","-79.01235100"
"Brentwood Elementary","Cumberland County Schools","C - 64","C","64","Met","59.3","86","35.03802400","-78.98279500"
"Brentwood Elementary","Wake County Schools","C - 55","C","55","NotMet","51.6","74","35.03802400","-78.98279500"
"Douglas Byrd Middle","Cumberland County Schools","D - 50","D","50","Exceeded","39.7","84","35.03210000","-78.95022500"
"Douglas Byrd High","Cumberland County Schools","C - 59","C","59","Exceeded","34.0","78","35.03323317","-78.94670852"
"Cape Fear High","Cumberland County Schools","B - 75","B","75","Exceeded","58.3","45","35.04629898","-78.85321045"
"Elizabeth M Cashwell Elementary","Cumberland County Schools","D - 54","D","54","Exceeded","45.1","85","35.00695400","-78.91533600"
"Eastover Central Elementary","Cumberland County Schools","B - 71","B","71","NotMet","71.7","34","35.00695400","-78.91533600"
"Anne Chesnutt Middle","Cumberland County Schools","D - 54","D","54","Exceeded","44.2","61","35.04999900","-78.97312100"
"Cliffdale Elementary","Cumberland County Schools","D - 50","D","50","Met","42.2","79","35.05946732","-78.99470520"
"College Lakes Elementary","Cumberland County Schools","C - 56","C","56","Met","49.5","69","35.12788631","-78.89825307"
"C Wayne Collier Elementary","Cumberland County Schools","C - 58","C","58","Met","51.2","63","34.97500200","-78.98265800"
"J W Coon Elementary","Cumberland County Schools","C - 61","C","61","Exceeded","54.8","83","35.03256989","-78.95925140"
"Cumberland International Early CollegeHS","Cumberland County Schools","A - 91","A","91","Met","87.6","53","35.53934479","-79.18541718"
"Cumberland Mills Elementary","Cumberland County Schools","C - 60","C","60","Exceeded","51.8","77","35.00247500","-78.96923800"
"Cumberland Road Elementary","Cumberland County Schools","C - 63","C","63","Exceeded","56.2","81","35.02050474","-78.90961625"
"Cross Creek Early College","Cumberland County Schools","A - 87","A","87","Met","83.6","55","35.07164106","-78.89452815"
"District No 7 Elementary","Cumberland County Schools","B - 80","B","80","Exceeded","78.0","51","35.14982224","-78.70621490"
"Grays Creek High","Cumberland County Schools","B - 75","B","75","Exceeded","59.4","35","34.92111969","-78.90460205"
"Luther Nick Jeralds Middle","Cumberland County Schools","D - 41","D","41","NotMet","36.0","86","35.09353459","-78.87738951"
"E E Smith High","Cumberland County Schools","C - 64","C","64","Met","46.4","60","35.08523900","-78.89579700"
"Ferguson-Easley Elementary","Cumberland County Schools","D - 54","D","54","Met","47.0","87","35.08499100","-78.89923800"
"Grays Creek Middle","Cumberland County Schools","C - 64","C","64","Met","59.7","49","34.91980743","-78.89964294"
"Glendale Acres Elementary","Cumberland County Schools","I - NA","I","","NA","NA","67","35.03497300","-78.92668900"
"Alderman Road Elementary","Cumberland County Schools","C - 60","C","60","Exceeded","53.4","61","34.89597581","-78.86184141"
"R Max Abbott Middle","Cumberland County Schools","C - 59","C","59","Met","54.0","55","35.05086400","-78.92158225"
"Howard L Hall Elementary","Cumberland County Schools","B - 77","B","77","Met","75.2","35","35.15620574","-78.88672896"
"Bill Hefner Elementary","Cumberland County Schools","C - 58","C","58","Met","52.3","62","35.06659300","-79.04650800"
"Hope Mills Middle","Cumberland County Schools","D - 49","D","49","NotMet","46.7","55","34.96485500","-78.93949800"
"John R Griffin Middle","Cumberland County Schools","B - 74","B","74","Exceeded","69.4","32","34.99995804","-78.98966980"
"Ed V Baldwin Elementary","Cumberland County Schools","C - 60","C","60","Exceeded","53.2","56","34.97895000","-78.93367700"
"Ireland Drive Middle","Cumberland County Schools","D - 43","D","43","NotMet","39.0","83","35.03394797","-78.94676283"
"Lewis Chapel Middle","Cumberland County Schools","F - 38","F","38","NotMet","32.7","74","35.04835500","-78.97676000"
"Gallberry Farm Elementary","Cumberland County Schools","C - 66","C","66","Met","61.2","51","34.92006302","-78.91539764"
"Alger B. Wilkins High School PLC","Cumberland County Schools","NA - NA","N","","NA","18.1","70","35.08254600","-78.95189600"
"Grays Creek Elementary","Cumberland County Schools","C - 63","C","63","Met","58.7","44","34.89031982","-78.86803436"
"Long Hill Elementary","Cumberland County Schools","B - 76","B","76","Met","74.2","31","35.16241800","-78.86515000"
"Lucile Souders Elementary","Cumberland County Schools","D - 53","D","53","Met","46.9","79","35.09921646","-78.88186646"
"Mac Williams Middle","Cumberland County Schools","C - 58","C","58","NotMet","56.3","52","35.03443146","-78.76754761"
"Margaret Willis Elementary","Cumberland County Schools","C - 57","C","57","Met","51.5","80","35.07135000","-78.90430400"
"Massey Hill Classical High","Cumberland County Schools","B - 83","B","83","Exceeded","74.4","26","35.03145981","-78.89518738"
"Mary McArthur Elementary","Cumberland County Schools","D - 47","D","47","NotMet","43.1","75","35.02553500","-78.94109300"
"E Melvin Honeycutt Elementary","Cumberland County Schools","B - 74","B","74","Met","72.2","39","35.00131989","-78.99278259"
"E E Miller Elementary","Cumberland County Schools","C - 58","C","58","Met","53.3","62","35.05373798","-79.04520862"
"Montclair Elementary","Cumberland County Schools","D - 52","D","52","NotMet","49.5","77","35.05524800","-78.96067800"
"Morganton Road Elementary","Cumberland County Schools","C - 60","C","60","Exceeded","52.4","71","35.07965800","-78.98713600"
"Manchester Elementary","Cumberland County Schools","D - 47","D","47","Met","40.5","76","35.17082596","-78.96692657"
"New Century International Elementary","Cumberland County Schools","C - 69","C","69","Exceeded","63.1","49","35.01292683","-79.04095329"
"William H Owen Elementary","Cumberland County Schools","C - 57","C","57","NotMet","56.3","81","35.04171700","-78.95417000"
"Walker Spivey Elementary","Cumberland County Schools","C - 57","C","57","Met","51.0","98","35.03624344","-78.87876129"
"Pine Forest Middle","Cumberland County Schools","B - 72","B","72","Exceeded","66.4","41","35.18095398","-78.85726166"
"Lake Rim Elementary","Cumberland County Schools","C - 60","C","60","Met","57.2","55","35.04956000","-79.07577500"
"Pine Forest High","Cumberland County Schools","C - 67","C","67","NotMet","51.1","50","35.15552312","-78.88969213"
"Ponderosa Elementary","Cumberland County Schools","C - 56","C","56","Met","49.7","76","35.08703200","-78.98794500"
"Reid Ross Classical High","Cumberland County Schools","C - 62","C","62","NotMet","42.4","48","35.08703200","-78.98794500"
"Raleigh Road Elementary","Cumberland County Schools","I - NA","I","","NA","NA","33","35.21825127","-78.84149887"
"Pauline Jones Middle","Cumberland County Schools","NA - NA","N","","NA","16.7","77","35.05266100","-78.86976600"
"Benjamin J Martin Elementary","Cumberland County Schools","C - 58","C","58","Exceeded","50.4","72","35.09288700","-79.00919300"
"Rockfish Elementary","Cumberland County Schools","B - 74","B","74","Met","72.6","49","34.97121000","-78.95716800"
"J W Seabrook Elementary","Cumberland County Schools","C - 60","C","60","Met","54.4","71","35.04814148","-78.85240173"
"New Century International Middle","Cumberland County Schools","C - 63","C","63","Met","57.9","44","35.01277864","-79.04070050"
"Seventy-First Classical Middle","Cumberland County Schools","B - 78","B","78","Exceeded","73.2","40","35.03844833","-79.00895691"
"Reid Ross Classical Middle","Cumberland County Schools","C - 57","C","57","NotMet","54.2","64","35.10225600","-78.87660200"
"Seventy-First High","Cumberland County Schools","C - 59","C","59","Met","37.5","60","35.03963089","-79.00556183"
"South View Middle","Cumberland County Schools","D - 43","D","43","NotMet","38.7","67","34.97797700","-78.92807000"
"Sherwood Park Elementary","Cumberland County Schools","D - 52","D","52","Met","44.9","78","35.01831800","-78.96171500"
"South View High","Cumberland County Schools","C - 64","C","64","Exceeded","44.4","54","34.97875951","-78.92474994"
"Spring Lake Middle","Cumberland County Schools","F - 39","F","39","NotMet","32.7","75","35.16873100","-78.96548400"
"Stedman Elementary","Cumberland County Schools","B - 79","B","79","Met","78.5","53","35.53934479","-79.18541718"
"Stedman Primary","Cumberland County Schools","I - NA","I","","NA","NA","54","35.01085281","-78.69186401"
"Stoney Point Elementary","Cumberland County Schools","B - 73","B","73","Met","70.0","26","34.98102129","-79.01359409"
"Sunnyside Elementary","Cumberland County Schools","C - 61","C","61","Met","55.4","76","35.02715683","-78.79742432"
"Teresa C Berrien Elementary","Cumberland County Schools","D - 53","D","53","Met","45.5","89","35.06558900","-78.87423700"
"Terry Sanford High","Cumberland County Schools","C - 69","C","69","Met","51.3","41","35.06440300","-78.91527500"
"Vanstory Hills Elementary","Cumberland County Schools","B - 80","B","80","Exceeded","76.2","38","35.05667496","-78.92682648"
"Ramsey Street High","Cumberland County Schools","NA - NA","N","","NA","9.0","65","35.07848740","-78.88293457"
"Warrenwood Elementary","Cumberland County Schools","D - 50","D","50","Met","43.6","77","35.12011700","-78.90914100"
"Westarea Elementary","Cumberland County Schools","C - 58","C","58","Exceeded","50.5","85","35.09820900","-78.91240600"
"Westover Middle","Cumberland County Schools","D - 49","D","49","Exceeded","39.5","75","35.08433500","-78.99156900"
"Westover High","Cumberland County Schools","C - 59","C","59","Exceeded","36.8","71","35.08420922","-78.98733057"
"William T Brown Elementary","Cumberland County Schools","D - 46","D","46","Met","36.8","72","35.15957259","-78.96830164"
"Howard Health & Life Sciences","Cumberland County Schools","A - 90","A","90","Exceeded","84.7","47","35.02968200","-78.89823100"
"Alpha Academy","Charter Schools","C - 62","C","62","Met","58.5","85","35.03437000","-79.06739800"
"The Capitol Encore Academy","Charter Schools","D - 43","D","43","NotMet","38.6","41","35.05348969","-78.87900543"
"Central Elementary","Currituck County Schools","C - 59","C","59","Met","54.3","63","36.38957200","-76.00914700"
"Central Elementary","Haywood County Schools","C - 66","C","66","Met","62.6","100","36.38957200","-76.00914700"
"Central Elementary","Iredell-Statesville Schools","B - 75","B","75","Met","73.2","47","36.38957200","-76.00914700"
"Central Elementary","Northampton County Schools","F - 36","F","36","Met","26.1","92","36.38957200","-76.00914700"
"Central Elementary","Orange County Schools","C - 57","C","57","Exceeded","49.0","69","36.38957200","-76.00914700"
"Central Elementary","Pasquotank County Schools","C - 61","C","61","Met","56.1","59","36.38957200","-76.00914700"
"Central Elementary","Rockingham County Schools","C - 67","C","67","Exceeded","62.0","61","36.38957200","-76.00914700"
"Central Elementary","Stanly County Schools","D - 51","D","51","NotMet","48.0","80","36.38957200","-76.00914700"
"Currituck County High","Currituck County Schools","C - 59","C","59","NotMet","46.0","33","36.37323700","-75.96959600"
"Currituck County Middle","Currituck County Schools","B - 71","B","71","Exceeded","66.1","46","36.36889882","-75.97030543"
"Jarvisburg Elementary","Currituck County Schools","C - 67","C","67","Exceeded","62.5","56","36.19926251","-75.85415974"
"Shawboro Elementary School","Currituck County Schools","C - 64","C","64","Met","62.3","43","36.43719400","-76.08695900"
"The JP Knapp ECH (i)School","Currituck County Schools","A - 87","A","87","Exceeded","81.7","25","36.44471146","-76.01343803"
"Knotts Island Elementary","Currituck County Schools","B - 70","B","70","Met","69.7","47","36.51371300","-75.91937200"
"Moyock Elementary","Currituck County Schools","C - 69","C","69","Met","67.1","26","36.52447097","-76.17473736"
"Moyock Middle","Currituck County Schools","C - 63","C","63","Met","60.3","31","36.50095700","-76.15625700"
"W T Griggs Elementary","Currituck County Schools","C - 57","C","57","NotMet","54.5","64","36.28024673","-75.89147949"
"Water's Edge Village School","Charter Schools","C - 55","C","55","NA","52.2","26","36.37826100","-75.83204600"
"Cape Hatteras Elementary School","Dare County Schools","C - 67","C","67","Met","64.2","61","35.25011444","-75.55029297"
"Cape Hatteras Secondary School","Dare County Schools","C - 56","C","56","NotMet","51.6","53","35.25011444","-75.55029297"
"Dare County Alternative School","Dare County Schools","NA - NA","N","","NA","27.6","100","35.97792059","-75.63846320"
"Kitty Hawk Elementary School","Dare County Schools","B - 79","B","79","Exceeded","75.6","24","36.12924814","-75.72884828"
"Nags Head Elementary School","Dare County Schools","B - 75","B","75","Exceeded","72.1","45","35.97607040","-75.63867950"
"Manteo Elementary School","Dare County Schools","C - 55","C","55","NotMet","51.4","61","35.53934479","-79.18541718"
"Manteo High School","Dare County Schools","B - 76","B","76","Exceeded","61.5","43","35.91673600","-75.67353800"
"Manteo Middle School","Dare County Schools","C - 63","C","63","Met","59.7","58","35.91673600","-75.67353800"
"First Flight Elementary School","Dare County Schools","B - 71","B","71","Met","69.3","43","35.31106186","-80.26329041"
"First Flight Middle School","Dare County Schools","C - 63","C","63","NotMet","65.3","35","35.31106186","-80.26329041"
"First Flight High School","Dare County Schools","B - 80","B","80","Met","69.4","27","35.31106186","-80.26329041"
"Brier Creek Elementary","Davidson County Schools","C - 63","C","63","Met","59.7","59","35.79832077","-80.08731842"
"Brier Creek Elementary","Wake County Schools","C - 67","C","67","NotMet","69.9","22","35.79832077","-80.08731842"
"Northwest Elementary","Davidson County Schools","C - 69","C","69","Met","66.3","36","35.94179535","-80.30037689"
"Northwest Elementary","Lenoir County Public Schools","D - 47","D","47","Met","38.4","60","35.94179535","-80.30037689"
"Northwest Elementary","Pitt County Schools","D - 47","D","47","NotMet","43.7","100","35.94179535","-80.30037689"
"Northwest Elementary","Wayne County Public Schools","C - 63","C","63","Exceeded","56.7","43","35.94179535","-80.30037689"
"Southmont Elementary","Davidson County Schools","C - 66","C","66","Exceeded","60.1","63","35.66423035","-80.27214813"
"Southmont Elementary","Randolph County Schools","C - 55","C","55","NotMet","52.0","65","35.66423035","-80.27214813"
"Central Davidson High","Davidson County Schools","C - 64","C","64","NotMet","49.0","45","35.73952720","-80.22311345"
"Central Davidson Middle","Davidson County Schools","C - 55","C","55","NotMet","54.3","55","35.74090183","-80.22517003"
"Stoner-Thomas School","Davidson County Schools","NA - NA","N","","NA","30.4","71","35.81769180","-80.19961548"
"Churchland Elementary","Davidson County Schools","C - 55","C","55","NotMet","52.6","65","35.78443475","-80.41646719"
"Davidson County High School","Davidson County Schools","NA - NA","N","","NA","37.2","70","35.81657901","-80.18930286"
"Davidson Early College","Davidson County Schools","A - 91","A","91","Met","90.2","49","35.87165451","-80.18212128"
"Davis-Townsend Elementary","Davidson County Schools","C - 64","C","64","NotMet","62.5","47","35.80734253","-80.16330719"
"Denton Elementary","Davidson County Schools","C - 55","C","55","Met","48.9","63","35.63336201","-80.11888348"
"E Lawson Brown Middle","Davidson County Schools","C - 60","C","60","Met","55.1","53","35.84879684","-80.10449219"
"East Davidson High","Davidson County Schools","C - 68","C","68","NotMet","57.3","40","35.85044400","-80.10217200"
"Fair Grove Elementary","Davidson County Schools","C - 66","C","66","Met","62.3","54","35.84762900","-80.07950500"
"Friedberg Elementary","Davidson County Schools","C - 69","C","69","Met","67.6","31","35.99241638","-80.27694702"
"Hasty Elementary","Davidson County Schools","B - 71","B","71","Exceeded","66.9","59","35.92345800","-80.08177900"
"Friendship Elementary","Davidson County Schools","B - 75","B","75","Exceeded","71.9","37","35.96017075","-80.13991547"
"Ledford Middle","Davidson County Schools","C - 59","C","59","NotMet","58.5","41","35.94786072","-80.11968994"
"Ledford Senior High","Davidson County Schools","B - 80","B","80","Exceeded","68.4","30","35.96213913","-80.13356018"
"Midway Elementary","Davidson County Schools","B - 73","B","73","Exceeded","68.4","44","35.95178223","-80.21425629"
"Midway Elementary","Sampson County Schools","B - 73","B","73","Exceeded","68.7","65","35.95178223","-80.21425629"
"North Davidson High","Davidson County Schools","B - 78","B","78","Exceeded","69.5","29","35.92383519","-80.24472266"
"North Davidson Middle","Davidson County Schools","C - 64","C","64","Met","62.3","38","35.92666894","-80.24482727"
"Oak Grove Middle","Davidson County Schools","C - 69","C","69","Met","65.5","35","35.94230270","-80.16471100"
"Pilot Elementary","Davidson County Schools","C - 65","C","65","Exceeded","59.7","56","35.87892100","-80.13393400"
"Pilot Elementary","Guilford County Schools","C - 56","C","56","Met","51.3","57","35.87892100","-80.13393400"
"Reeds Elementary","Davidson County Schools","C - 64","C","64","Met","61.5","53","35.84265518","-80.33249664"
"Silver Valley Elementary","Davidson County Schools","D - 51","D","51","Met","43.0","78","35.73243812","-80.10155909"
"South Davidson High","Davidson County Schools","C - 61","C","61","NotMet","46.6","51","35.67292404","-80.10427094"
"Southwood Elementary","Davidson County Schools","C - 56","C","56","Met","49.4","69","35.73278680","-80.26575588"
"Southwood Elementary","Lenoir County Public Schools","C - 57","C","57","Met","51.9","49","35.73278680","-80.26575588"
"South Davidson Middle","Davidson County Schools","C - 61","C","61","Exceeded","54.4","61","35.67432337","-80.10051101"
"Tyro Elementary","Davidson County Schools","C - 67","C","67","Met","62.7","61","35.79132080","-80.32076263"
"Tyro Middle","Davidson County Schools","C - 57","C","57","Met","53.7","51","35.80550015","-80.37237033"
"Wallburg Elementary","Davidson County Schools","B - 78","B","78","Exceeded","73.7","35","36.00835037","-80.14087677"
"Welcome Elementary","Davidson County Schools","C - 59","C","59","NotMet","56.1","52","35.90314484","-80.25833130"
"West Davidson High","Davidson County Schools","C - 66","C","66","NotMet","57.4","44","35.80482490","-80.36931261"
"Yadkin Valley Regional Career Academy","Davidson County Schools","C - 61","C","61","NotMet","57.9","55","35.81747818","-80.18868256"
"Charles England Elementary School","Lexington City Schools","C - 58","C","58","Met","51.8","85","35.81683350","-80.23918152"
"Lexington Middle School","Lexington City Schools","D - 47","D","47","Met","40.1","87","35.83092481","-80.24654388"
"Lexington Senior High","Lexington City Schools","C - 61","C","61","Met","37.1","78","35.83257906","-80.25009379"
"Pickett Elementary School","Lexington City Schools","C - 61","C","61","Met","58.4","93","35.84517136","-80.26407011"
"South Lexington School","Lexington City Schools","I - NA","I","","NA","NA","92","35.79764061","-80.26243061"
"South Lexington Development Center","Lexington City Schools","NA - NA","N","","NA","73.2","58","35.79709008","-80.26234210"
"Southwest Elementary School","Lexington City Schools","C - 66","C","66","Met","61.8","91","35.81749700","-80.27976200"
"Liberty Drive Elementary","Thomasville City Schools","D - 52","D","52","Met","47.3","92","35.87865800","-80.06453700"
"Thomasville Primary","Thomasville City Schools","C - 55","C","55","Met","48.8","94","35.87623978","-80.05990601"
"Thomasville Middle","Thomasville City Schools","D - 45","D","45","NotMet","41.5","90","35.89976100","-80.07937600"
"Thomasville High","Thomasville City Schools","C - 60","C","60","Met","39.4","83","35.90051651","-80.07572174"
"Eastern NC School for the Deaf","Deaf and Blind Schools","NA - NA","N","","NA","24.2","NA","35.70515737","-77.92057849"
"Gov. Morehead School for the Blind","Deaf and Blind Schools","NA - NA","N","","NA","35.6","NA","35.78066625","-78.66027944"
"NC School for the Deaf","Deaf and Blind Schools","NA - NA","N","","NA","13.0","NA","35.72545600","-81.69290100"
"Central Davie Academy","Davie County Schools","NA - NA","N","","NA","25.0","89","35.90588853","-80.55246189"
"Cooleemee Elementary","Davie County Schools","C - 63","C","63","Exceeded","56.4","82","35.81494555","-80.55224732"
"Cornatzer Elementary","Davie County Schools","C - 69","C","69","Met","65.6","65","35.89713669","-80.49358368"
"Davie County High","Davie County Schools","C - 69","C","69","NotMet","59.8","43","35.87285995","-80.55196381"
"Davie County Early College High","Davie County Schools","A - 92","A","92","Met","92.7","44","35.87091000","-80.55364200"
"Mocksville Elementary","Davie County Schools","C - 65","C","65","Met","63.0","60","35.90750800","-80.55824200"
"North Davie Middle","Davie County Schools","C - 69","C","69","Met","64.7","43","35.96691513","-80.53535461"
"Pinebrook Elementary","Davie County Schools","B - 70","B","70","Met","69.5","41","35.97082901","-80.51807404"
"Shady Grove Elementary","Davie County Schools","C - 65","C","65","NotMet","66.3","20","35.94685300","-80.41623600"
"South Davie Middle","Davie County Schools","C - 58","C","58","NotMet","58.3","60","35.88377975","-80.56871474"
"William R Davie Elementary","Davie County Schools","C - 63","C","63","Met","59.8","59","35.88377975","-80.56871474"
"William Ellis Middle","Davie County Schools","B - 72","B","72","Exceeded","68.4","30","35.93012238","-80.40586090"
