school_name_value,school_system_value,schoolgrade_value,growthstatus_value,gradelevel_value,freereduced_value
"Central Park School For Child","Charter Schools","B - 71","NotMet","72.3","14"
"Voyager Academy","Charter Schools","B - 71","Met","66.8","10"
"Global Scholars Academy","Charter Schools","F - 39","Met","30.5","100"
"Research Triangle High School","Charter Schools","B - 76","Met","73.9","20"
"The Institute Development Young Leaders","Charter Schools","D - 47","Exceeded","36.9","72"
"Reaching All Minds Academy","Charter Schools","F - 23","NotMet","12.5","94"
"North East Carolina Prep","Charter Schools","F - 37","NotMet","30.0","87"
"Quality Education Academy","Charter Schools","C - 56","Met","47.3","100"
"Carter G Woodson School","Charter Schools","D - 40","Met","25.5","83"
"Forsyth Academy","Charter Schools","D - 44","NotMet","40.1","71"
"The Arts Based School","Charter Schools","B - 70","NotMet","70.9","18"
"The North Carolina Leadership Academy","Charter Schools","B - 77","Met","76.7","10"
"Crosscreek Charter School","Charter Schools","C - 63","Exceeded","56.7","22"
"Piedmont Community Charter School","Charter Schools","B - 71","Met","67.3","11"
"Mountain Island Charter School","Charter Schools","B - 74","Met","71.4","21"
"Falls Lake Academy","Charter Schools","B - 70","Met","67.3","7"
"Oxford Preparatory","Charter Schools","C - 59","NotMet","56.9","20"
"Greensboro Academy","Charter Schools","A+ - 86","Exceeded","84.1","7"
"Guilford Preparatory Academy","Charter Schools","D - 51","Met","43.4","81"
"Phoenix Academy","Charter Schools","C - 56","NotMet","52.5","9"
"Triad Math and Science Academy","Charter Schools","C - 69","Exceeded","64.0","64"
"Cornerstone Charter Academy-CFA","Charter Schools","B - 71","Met","69.0","5"
"College Prep and Leadership Academy","Charter Schools","D - 40","NotMet","35.3","70"
"Summerfield Charter Academy","Charter Schools","B - 79","Exceeded","74.8","13"
"KIPP Halifax College Prep","Charter Schools","C - 58","Met","50.7","86"
"Anderson Creek Club Charter School","Charter Schools","B - 72","Met","68.8","8"
"The Mountain Community Sch","Charter Schools","C - 60","Met","55.8","7"
"American Renaissance School","Charter Schools","B - 76","Exceeded","69.5","27"
"Success Institute Charter","Charter Schools","D - 42","Met","31.1","79"
"Langtree Charter Academy","Charter Schools","B - 75","Met","73.7","9"
"Summit Charter","Charter Schools","B - 71","Met","71.2","25"
"Neuse Charter School","Charter Schools","B - 76","Exceeded","72.4","13"
"Children's Village Academy","Charter Schools","D - 46","Exceeded","35.7","100"
"Lincoln Charter School","Charter Schools","B - 82","Met","80.8","2"
"Bear Grass","Charter Schools","C - 59","NotMet","54.2","12"
"Community Charter School","Charter Schools","F - 39","Met","29.3","56"
"Sugar Creek Charter","Charter Schools","C - 62","NotMet","60.6","88"
"Kennedy Charter","Charter Schools","F - 33","NotMet","18.5","92"
"Lake Norman Charter","Charter Schools","A - 86","Exceeded","83.0","3"
"Metrolina Reg Scholars Academy","Charter Schools","A+ - 94","Met",">95","0"
"Queen's Grant Community School","Charter Schools","B - 73","Met","69.2","17"
"Crossroads Charter High","Charter Schools","F - 33","Met","18.8","90"
"Community School of Davidson","Charter Schools","A+ - 86","Met","83.9","3"
"Socrates Academy","Charter Schools","B - 83","Met","83.1","19"
"Charlotte Secondary","Charter Schools","D - 53","NotMet","51.8","40"
"KIPP Charlotte","Charter Schools","C - 61","Exceeded","54.4","76"
"Corvian Community School","Charter Schools","B - 78","Met","77.7","2"
"Aristotle Preparatory Academy","Charter Schools","D - 48","Met","38.6","78"
"Charlotte Choice Charter","Charter Schools","F - 34","NotMet","26.4","52"
"Invest Collegiate","Charter Schools","D - 51","NotMet","49.9","18"
"Bradford Preparatory School","Charter Schools","B - 71","Met","70.3","16"
"Commonwealth High","Charter Schools","NA - NA","NA","23.5","71"
"Charlotte Learning Academy","Charter Schools","F - 38","Met","26.6","83"
"Pioneer Springs Community School","Charter Schools","D - 51","NotMet","47.8","2"
"Thunderbird Prep","Charter Schools","C - 65","NotMet","66.4","2"
"United Community School","Charter Schools","I - NA","NA","NA","36"
"The Academy of Moore County","Charter Schools","B - 79","Met","81.0","42"
"STARS Charter","Charter Schools","C - 62","Met","56.2","29"
"Rocky Mount Preparatory","Charter Schools","D - 40","NotMet","31.4","75"
"Cape Fear Center for Inquiry","Charter Schools","B - 72","NotMet","75.8","14"
"Wilmington Preparatory Academy","Charter Schools","C - 57","Met","51.9","61"
"Douglass Academy","Charter Schools","I - NA","NA","NA","84"
"Island Montessori Charter","Charter Schools","D - 52","Met","46.9","7"
"Gaston College Preparatory","Charter Schools","B - 78","Exceeded","74.1","72"
"Z.E.C.A. School of Arts and Technology","Charter Schools","F - 29","Met","17.9","80"
"Orange Charter","Charter Schools","B - 77","Met","76.3","11"
"The Expedition School","Charter Schools","A - 85","Met","85.2","3"
"PACE Academy","Charter Schools","D - 45","Met","16.3","35"
"Arapahoe Charter School","Charter Schools","C - 66","Exceeded","60.1","61"
"Bethel Hill Charter","Charter Schools","C - 68","Met","64.2","38"
"Roxboro Community School","Charter Schools","A+ - 85","Exceeded","81.6","17"
"Uwharrie Charter Academy","Charter Schools","D - 53","NotMet","49.3","34"
"CIS Academy","Charter Schools","D - 48","Exceeded","36.8","73"
"Southeastern Academy","Charter Schools","B - 80","Exceeded","77.1","0"
"Bethany Community Middle","Charter Schools","C - 61","NotMet","59.3","19"
"Thomas Jefferson Class Academy","Charter Schools","A+ - 86","Met","84.3","13"
"Lake Lure Classical Academy","Charter Schools","C - 58","NotMet","56.4","41"
"Gray Stone Day","Charter Schools","A - 91","Met","94.3","12"
"Millennium Charter Academy","Charter Schools","B - 72","Met","69.8","14"
"Mountain Discovery","Charter Schools","B - 74","Met","72.1","53"
"Brevard Academy","Charter Schools","B - 75","Met","73.9","65"
"Union Academy","Charter Schools","B - 77","NotMet","76.8","3"
"Vance Charter School","Charter Schools","C - 65","NotMet","65.7","20"
"Henderson Collegiate","Charter Schools","A+ - 88","Exceeded","84.9","92"
"The Exploris School","Charter Schools","B - 80","NotMet","83.3","2"
"Magellan Charter","Charter Schools","A+ - 93","Met",">95","0"
"Franklin Academy","Charter Schools","B - 83","Exceeded","79.5","0"
"East Wake Academy","Charter Schools","B - 78","Exceeded","73.9","17"
"Raleigh Charter High School","Charter Schools","A - 98","Exceeded",">95","0"
"Torchlight Academy","Charter Schools","F - 33","NotMet","26.6","96"
"PreEminent Charter","Charter Schools","D - 50","Exceeded","40.7","71"
"Quest Academy","Charter Schools","A - 90","Met","94.9","0"
"Southern Wake Academy","Charter Schools","B - 71","Met","63.1","8"
"Hope Charter Leadership Academy","Charter Schools","F - 37","Met","25.7","94"
"Casa Esperanza Montessori Charter School","Charter Schools","B - 74","NotMet","75.3","15"
"Endeavor Charter","Charter Schools","A+ - 91","Exceeded","92.2","2"
"Triangle Math and Science Academy","Charter Schools","A+ - 85","Met","88.4","8"
"Longleaf School of the Arts","Charter Schools","B - 79","Met","76.0","16"
"Wake Forest Charter Academy","Charter Schools","C - 68","NotMet","70.8","18"
"Cardinal Charter","Charter Schools","B - 73","NotMet","78.0","10"
"Dynamic Community Charter","Charter Schools","F - 22","NA","21.5","7"
"Envision Science Academy","Charter Schools","A - 86","Met","88.1","2"
"Haliwa-Saponi Tribal School","Charter Schools","D - 47","Exceeded","30.8","80"
"Two Rivers Community School","Charter Schools","B - 78","Met","77.4","39"
"Dillard Academy","Charter Schools","F - 36","Met","26.6","96"
"Wayne Preparatory Academy","Charter Schools","D - 47","NotMet","44.0","29"
"Bridges Academy","Charter Schools","D - 53","NotMet","50.8","83"
"Sallie B Howard School","Charter Schools","C - 60","Exceeded","53.2","86"
"Wilson Preparatory Academy","Charter Schools","C - 60","Met","56.1","40"
"Bennett School","Chatham County Schools","C - 67","Met","63.1","40"
"Bonlee School","Chatham County Schools","C - 62","Exceeded","56.0","57"
"SAGE Academy","Chatham County Schools","NA - NA","NA","5.1","71"
"Chatham Middle","Chatham County Schools","D - 45","Met","35.3","89"
"Chatham Central High","Chatham County Schools","B - 75","Exceeded","63.7","35"
"Horton Middle","Chatham County Schools","C - 56","NotMet","52.4","46"
"J S Waters School","Chatham County Schools","C - 66","Exceeded","60.8","50"
"Jordan Matthews High","Chatham County Schools","C - 67","Exceeded","46.0","69"
"Margaret B. Pollard Middle","Chatham County Schools","B - 74","Met","71.3","29"
"Moncure School","Chatham County Schools","C - 66","Exceeded","61.4","40"
"North Chatham Elementary","Chatham County Schools","C - 58","Exceeded","50.9","40"
"Northwood High","Chatham County Schools","B - 79","Exceeded","66.8","28"
"Perry W Harrison Elementary","Chatham County Schools","B - 74","NotMet","75.1","25"
"Pittsboro Elementary","Chatham County Schools","C - 65","NotMet","64.6","43"
"Siler City Elementary","Chatham County Schools","D - 53","Met","46.2","78"
"Silk Hope School","Chatham County Schools","B - 71","Met","68.3","40"
"Virginia Cross Elementary","Chatham County Schools","D - 47","Met","39.2","86"
"Andrews Elementary","Cherokee County Schools","C - 61","Met","55.7","100"
"Andrews High","Cherokee County Schools","C - 62","NotMet","48.4","53"
"Andrews Middle","Cherokee County Schools","D - 51","NotMet","46.6","69"
"Hiwassee Dam Elementary/Middle","Cherokee County Schools","C - 65","Met","60.6","77"
"Hiwassee Dam High","Cherokee County Schools","C - 67","Met","44.3","52"
"Marble Elementary","Cherokee County Schools","D - 49","NotMet","44.4","87"
"Martins Creek Elementary/Mid","Cherokee County Schools","C - 67","Met","62.3","100"
"Mountain Youth School","Cherokee County Schools","NA - NA","NA","NA","100"
"Murphy Elementary","Cherokee County Schools","C - 68","Met","64.8","88"
"Murphy High","Cherokee County Schools","C - 65","NotMet","46.0","63"
"Murphy Middle","Cherokee County Schools","C - 55","NotMet","51.9","71"
"Peachtree Elementary","Cherokee County Schools","B - 76","Exceeded","74.0","94"
"Ranger Elementary/Middle","Cherokee County Schools","C - 60","NotMet","58.1","76"
"Tri-County Early College High","Cherokee County Schools","B - 80","Met","70.5","39"
"Hayesville Elementary","Clay County Schools","C - 59","NotMet","57.3","60"
"Hayesville High","Clay County Schools","B - 70","Met","54.8","46"
"Hayesville Middle","Clay County Schools","C - 59","Met","53.9","60"
"Bethware Elementary","Cleveland County Schools","B - 77","Exceeded","75.1","66"
"Boiling Springs Elementary","Cleveland County Schools","B - 78","Met","76.5","53"
"Burns High","Cleveland County Schools","C - 69","Met","49.8","58"
"Burns Middle","Cleveland County Schools","C - 55","NotMet","52.9","67"
"Casar Elementary","Cleveland County Schools","B - 74","Exceeded","70.8","65"
"Cleveland ECHS","Cleveland County Schools","A+ - 85","Met","81.5","64"
"Crest High","Cleveland County Schools","C - 67","NotMet","53.8","49"
"Crest Middle","Cleveland County Schools","C - 56","NotMet","55.2","58"
"Turning Point Academy","Cleveland County Schools","NA - NA","NA","5.7","88"
"East Elementary","Cleveland County Schools","B - 77","Exceeded","74.5","76"
"Shelby Intermediate","Cleveland County Schools","C - 57","Met","50.7","71"
"Fallston Elementary","Cleveland County Schools","C - 64","Met","60.1","65"
"Graham Elementary","Cleveland County Schools","D - 53","Met","45.6","94"
"Grover Elementary","Cleveland County Schools","B - 70","Exceeded","65.7","77"
"James Love Elementary","Cleveland County Schools","D - 50","Met","44.3","92"
"Jefferson Elementary","Cleveland County Schools","C - 68","Met","63.5","60"
"Kings Mountain High","Cleveland County Schools","B - 78","Exceeded","64.9","49"
"Kings Mountain Intermediate","Cleveland County Schools","C - 63","NotMet","63.6","62"
"Kings Mountain Middle","Cleveland County Schools","C - 58","NotMet","58.9","60"
"Marion Elementary","Cleveland County Schools","C - 60","Met","54.6","70"
"North Elementary","Cleveland County Schools","B - 79","Met","80.3","71"
"North Shelby","Cleveland County Schools","NA - NA","NA","63.4","80"
"Shelby High","Cleveland County Schools","C - 62","NotMet","46.8","61"
"Shelby Middle","Cleveland County Schools","D - 46","NotMet","43.3","71"
"Springmore Elementary","Cleveland County Schools","B - 74","Exceeded","69.4","52"
"Township Three Elementary","Cleveland County Schools","C - 57","Met","53.2","81"
"Union Elementary","Cleveland County Schools","C - 62","Met","56.5","72"
"Washington Elementary","Cleveland County Schools","C - 68","Met","63.6","83"
"West Elementary","Cleveland County Schools","B - 80","Exceeded","78.8","51"
"Butler Avenue Elementary","Clinton City Schools","B - 74","Exceeded","70.0","78"
"Clinton High","Clinton City Schools","C - 62","NotMet","48.7","51"
"Langdon C Kerr Elementary","Clinton City Schools","I - NA","NA","NA","78"
"Sampson Middle","Clinton City Schools","C - 68","Exceeded","61.4","69"
"Sunset Avenue Elementary","Clinton City Schools","C - 58","NotMet","56.8","73"
"Acme Delco Middle","Columbus County Schools","F - 39","NotMet","33.5","79"
"Acme Delco Elementary","Columbus County Schools","D - 50","Met","42.0","97"
"Cerro Gordo Elementary","Columbus County Schools","C - 59","Met","55.0","94"
"Chadbourn Middle","Columbus County Schools","D - 51","Exceeded","41.7","100"
"Chadbourn Elementary","Columbus County Schools","D - 42","Met","33.3","100"
"East Columbus High","Columbus County Schools","D - 54","NotMet","36.5","60"
"Evergreen Elementary","Columbus County Schools","D - 52","Met","45.4","100"
"Guideway Elementary","Columbus County Schools","F - 39","Met","31.3","100"
"Hallsboro-Artesia Elementary","Columbus County Schools","D - 49","Met","40.5","100"
"Hallsboro Middle","Columbus County Schools","D - 50","Met","42.1","78"
"Nakina Middle","Columbus County Schools","C - 57","NotMet","53.9","71"
"Old Dock Elementary","Columbus County Schools","C - 68","Exceeded","64.0","71"
"South Columbus High","Columbus County Schools","C - 61","Met","44.3","49"
"Tabor City Elementary","Columbus County Schools","D - 43","Met","36.3","100"
"CCCA - Fair Bluff /Southeastern Campuses","Columbus County Schools","C - 66","Met","49.7","49"
"Tabor City Middle","Columbus County Schools","D - 43","NotMet","36.9","100"
"West Columbus High","Columbus County Schools","C - 57","NotMet","40.9","71"
"Williams Township","Columbus County Schools","C - 57","Met","51.7","81"
"Albert H Bangert Elementary","Craven County Schools","C - 57","Met","52.3","57"
"Ben D Quinn Elementary","Craven County Schools","C - 65","Met","62.9","58"
"Bridgeton Elementary","Craven County Schools","C - 68","Exceeded","63.5","63"
"Brinson Memorial Elementary","Craven County Schools","B - 70","Met","68.4","43"
"Craven Early College High","Craven County Schools","A - 85","Exceeded","72.9","42"
"Creekside Elementary","Craven County Schools","B - 73","Exceeded","69.6","28"
"Vanceboro-Farm Life Elementary","Craven County Schools","D - 52","NotMet","48.5","80"
"Early College EAST High","Craven County Schools","B - 81","Met","70.0","30"
"Grover C Fields Middle","Craven County Schools","C - 60","Met","54.6","68"
"Graham A Barden Elementary","Craven County Schools","B - 79","Exceeded","77.0","67"
"H J MacDonald Middle","Craven County Schools","C - 59","NotMet","58.2","49"
"Havelock Elementary","Craven County Schools","C - 58","Met","54.7","66"
"Havelock High","Craven County Schools","C - 68","Met","52.8","45"
"Havelock Middle","Craven County Schools","C - 68","Exceeded","62.0","68"
"J T Barber Elementary","Craven County Schools","C - 57","Met","51.2","85"
"James W Smith Elementary","Craven County Schools","C - 55","Exceeded","45.8","80"
"New Bern High","Craven County Schools","C - 66","NotMet","53.3","50"
"Oaks Road Elementary","Craven County Schools","D - 51","Met","43.3","92"
"Roger R Bell Elementary","Craven County Schools","D - 50","Met","43.4","72"
"Trent Park Elementary","Craven County Schools","C - 59","Exceeded","52.7","76"
"Tucker Creek Middle","Craven County Schools","B - 72","Met","70.7","42"
"West Craven High","Craven County Schools","C - 65","Met","48.1","57"
"West Craven Middle","Craven County Schools","C - 60","Exceeded","51.5","72"
"W Jesse Gurganus Elementary","Craven County Schools","B - 79","Met","78.1","44"
"Arthur W Edwards Elementary","Craven County Schools","B - 74","Exceeded","70.4","53"
"Alma O Easom Elementary","Cumberland County Schools","I - NA","NA","NA","40"
"Armstrong Elementary","Cumberland County Schools","B - 70","Met","67.3","65"
"Ashley Elementary","Cumberland County Schools","C - 55","NotMet","51.1","59"
"Loyd E Auman Elementary","Cumberland County Schools","D - 52","Met","46.6","69"
"Beaver Dam Elementary","Cumberland County Schools","A - 85","Met","84.5","58"
"Lillian Black Elementary","Cumberland County Schools","D - 48","Met","42.4","76"
"Jack Britt High","Cumberland County Schools","A - 88","Exceeded","81.3","28"
"Brentwood Elementary","Cumberland County Schools","C - 64","Met","59.3","86"
"Douglas Byrd Middle","Cumberland County Schools","D - 50","Exceeded","39.7","84"
"Douglas Byrd High","Cumberland County Schools","C - 59","Exceeded","34.0","78"
"Cape Fear High","Cumberland County Schools","B - 75","Exceeded","58.3","45"
"Elizabeth M Cashwell Elementary","Cumberland County Schools","D - 54","Exceeded","45.1","85"
"Eastover Central Elementary","Cumberland County Schools","B - 71","NotMet","71.7","34"
"Anne Chesnutt Middle","Cumberland County Schools","D - 54","Exceeded","44.2","61"
"Cliffdale Elementary","Cumberland County Schools","D - 50","Met","42.2","79"
"College Lakes Elementary","Cumberland County Schools","C - 56","Met","49.5","69"
"C Wayne Collier Elementary","Cumberland County Schools","C - 58","Met","51.2","63"
"J W Coon Elementary","Cumberland County Schools","C - 61","Exceeded","54.8","83"
"Cumberland International Early CollegeHS","Cumberland County Schools","A - 91","Met","87.6","53"
"Cumberland Mills Elementary","Cumberland County Schools","C - 60","Exceeded","51.8","77"
"Cumberland Road Elementary","Cumberland County Schools","C - 63","Exceeded","56.2","81"
"Cross Creek Early College","Cumberland County Schools","A - 87","Met","83.6","55"
"District No 7 Elementary","Cumberland County Schools","B - 80","Exceeded","78.0","51"
"Grays Creek High","Cumberland County Schools","B - 75","Exceeded","59.4","35"
"Luther Nick Jeralds Middle","Cumberland County Schools","D - 41","NotMet","36.0","86"
"E E Smith High","Cumberland County Schools","C - 64","Met","46.4","60"
"Ferguson-Easley Elementary","Cumberland County Schools","D - 54","Met","47.0","87"
"Grays Creek Middle","Cumberland County Schools","C - 64","Met","59.7","49"
"Glendale Acres Elementary","Cumberland County Schools","I - NA","NA","NA","67"
"Alderman Road Elementary","Cumberland County Schools","C - 60","Exceeded","53.4","61"
"R Max Abbott Middle","Cumberland County Schools","C - 59","Met","54.0","55"
"Howard L Hall Elementary","Cumberland County Schools","B - 77","Met","75.2","35"
"Bill Hefner Elementary","Cumberland County Schools","C - 58","Met","52.3","62"
"Hope Mills Middle","Cumberland County Schools","D - 49","NotMet","46.7","55"
"John R Griffin Middle","Cumberland County Schools","B - 74","Exceeded","69.4","32"
"Ed V Baldwin Elementary","Cumberland County Schools","C - 60","Exceeded","53.2","56"
"Ireland Drive Middle","Cumberland County Schools","D - 43","NotMet","39.0","83"
"Lewis Chapel Middle","Cumberland County Schools","F - 38","NotMet","32.7","74"
"Gallberry Farm Elementary","Cumberland County Schools","C - 66","Met","61.2","51"
"Alger B. Wilkins High School PLC","Cumberland County Schools","NA - NA","NA","18.1","70"
"Grays Creek Elementary","Cumberland County Schools","C - 63","Met","58.7","44"
"Long Hill Elementary","Cumberland County Schools","B - 76","Met","74.2","31"
"Lucile Souders Elementary","Cumberland County Schools","D - 53","Met","46.9","79"
"Mac Williams Middle","Cumberland County Schools","C - 58","NotMet","56.3","52"
"Margaret Willis Elementary","Cumberland County Schools","C - 57","Met","51.5","80"
"Massey Hill Classical High","Cumberland County Schools","B - 83","Exceeded","74.4","26"
"Mary McArthur Elementary","Cumberland County Schools","D - 47","NotMet","43.1","75"
"E Melvin Honeycutt Elementary","Cumberland County Schools","B - 74","Met","72.2","39"
"E E Miller Elementary","Cumberland County Schools","C - 58","Met","53.3","62"
"Montclair Elementary","Cumberland County Schools","D - 52","NotMet","49.5","77"
"Morganton Road Elementary","Cumberland County Schools","C - 60","Exceeded","52.4","71"
"Manchester Elementary","Cumberland County Schools","D - 47","Met","40.5","76"
"New Century International Elementary","Cumberland County Schools","C - 69","Exceeded","63.1","49"
"William H Owen Elementary","Cumberland County Schools","C - 57","NotMet","56.3","81"
"Walker Spivey Elementary","Cumberland County Schools","C - 57","Met","51.0","98"
"Pine Forest Middle","Cumberland County Schools","B - 72","Exceeded","66.4","41"
"Lake Rim Elementary","Cumberland County Schools","C - 60","Met","57.2","55"
"Pine Forest High","Cumberland County Schools","C - 67","NotMet","51.1","50"
"Ponderosa Elementary","Cumberland County Schools","C - 56","Met","49.7","76"
"Reid Ross Classical High","Cumberland County Schools","C - 62","NotMet","42.4","48"
"Raleigh Road Elementary","Cumberland County Schools","I - NA","NA","NA","33"
"Pauline Jones Middle","Cumberland County Schools","NA - NA","NA","16.7","77"
"Benjamin J Martin Elementary","Cumberland County Schools","C - 58","Exceeded","50.4","72"
"Rockfish Elementary","Cumberland County Schools","B - 74","Met","72.6","49"
"J W Seabrook Elementary","Cumberland County Schools","C - 60","Met","54.4","71"
"New Century International Middle","Cumberland County Schools","C - 63","Met","57.9","44"
"Seventy-First Classical Middle","Cumberland County Schools","B - 78","Exceeded","73.2","40"
"Reid Ross Classical Middle","Cumberland County Schools","C - 57","NotMet","54.2","64"
"Seventy-First High","Cumberland County Schools","C - 59","Met","37.5","60"
"South View Middle","Cumberland County Schools","D - 43","NotMet","38.7","67"
"Sherwood Park Elementary","Cumberland County Schools","D - 52","Met","44.9","78"
"South View High","Cumberland County Schools","C - 64","Exceeded","44.4","54"
"Spring Lake Middle","Cumberland County Schools","F - 39","NotMet","32.7","75"
"Stedman Elementary","Cumberland County Schools","B - 79","Met","78.5","53"
"Stedman Primary","Cumberland County Schools","I - NA","NA","NA","54"
"Stoney Point Elementary","Cumberland County Schools","B - 73","Met","70.0","26"
"Sunnyside Elementary","Cumberland County Schools","C - 61","Met","55.4","76"
"Teresa C Berrien Elementary","Cumberland County Schools","D - 53","Met","45.5","89"
"Terry Sanford High","Cumberland County Schools","C - 69","Met","51.3","41"
"Vanstory Hills Elementary","Cumberland County Schools","B - 80","Exceeded","76.2","38"
"Ramsey Street High","Cumberland County Schools","NA - NA","NA","9.0","65"
"Warrenwood Elementary","Cumberland County Schools","D - 50","Met","43.6","77"
"Westarea Elementary","Cumberland County Schools","C - 58","Exceeded","50.5","85"
"Westover Middle","Cumberland County Schools","D - 49","Exceeded","39.5","75"
"Westover High","Cumberland County Schools","C - 59","Exceeded","36.8","71"
"William T Brown Elementary","Cumberland County Schools","D - 46","Met","36.8","72"
"Howard Health & Life Sciences","Cumberland County Schools","A - 90","Exceeded","84.7","47"
"Central Elementary","Currituck County Schools","C - 59","Met","54.3","63"
"Currituck County High","Currituck County Schools","C - 59","NotMet","46.0","33"
"Currituck County Middle","Currituck County Schools","B - 71","Exceeded","66.1","46"
"Jarvisburg Elementary","Currituck County Schools","C - 67","Exceeded","62.5","56"
"Shawboro Elementary School","Currituck County Schools","C - 64","Met","62.3","43"
"The JP Knapp ECH (i)School","Currituck County Schools","A - 87","Exceeded","81.7","25"
"Knotts Island Elementary","Currituck County Schools","B - 70","Met","69.7","47"
"Moyock Elementary","Currituck County Schools","C - 69","Met","67.1","26"
"Moyock Middle","Currituck County Schools","C - 63","Met","60.3","31"
"W T Griggs Elementary","Currituck County Schools","C - 57","NotMet","54.5","64"
"Cape Hatteras Elementary School","Dare County Schools","C - 67","Met","64.2","61"
"Cape Hatteras Secondary School","Dare County Schools","C - 56","NotMet","51.6","53"
"Dare County Alternative School","Dare County Schools","NA - NA","NA","27.6","100"
"Kitty Hawk Elementary School","Dare County Schools","B - 79","Exceeded","75.6","24"
"Nags Head Elementary School","Dare County Schools","B - 75","Exceeded","72.1","45"
"Manteo Elementary School","Dare County Schools","C - 55","NotMet","51.4","61"
"Manteo High School","Dare County Schools","B - 76","Exceeded","61.5","43"
"Manteo Middle School","Dare County Schools","C - 63","Met","59.7","58"
"First Flight Elementary School","Dare County Schools","B - 71","Met","69.3","43"
"First Flight Middle School","Dare County Schools","C - 63","NotMet","65.3","35"
"First Flight High School","Dare County Schools","B - 80","Met","69.4","27"
"Brier Creek Elementary","Davidson County Schools","C - 63","Met","59.7","59"
"Northwest Elementary","Davidson County Schools","C - 69","Met","66.3","36"
"Southmont Elementary","Davidson County Schools","C - 66","Exceeded","60.1","63"
"Central Davidson High","Davidson County Schools","C - 64","NotMet","49.0","45"
"Central Davidson Middle","Davidson County Schools","C - 55","NotMet","54.3","55"
"Stoner-Thomas School","Davidson County Schools","NA - NA","NA","30.4","71"
"Churchland Elementary","Davidson County Schools","C - 55","NotMet","52.6","65"
"Davidson County High School","Davidson County Schools","NA - NA","NA","37.2","70"
"Davidson Early College","Davidson County Schools","A - 91","Met","90.2","49"
"Davis-Townsend Elementary","Davidson County Schools","C - 64","NotMet","62.5","47"
"Denton Elementary","Davidson County Schools","C - 55","Met","48.9","63"
"E Lawson Brown Middle","Davidson County Schools","C - 60","Met","55.1","53"
"East Davidson High","Davidson County Schools","C - 68","NotMet","57.3","40"
"Fair Grove Elementary","Davidson County Schools","C - 66","Met","62.3","54"
"Friedberg Elementary","Davidson County Schools","C - 69","Met","67.6","31"
"Hasty Elementary","Davidson County Schools","B - 71","Exceeded","66.9","59"
"Friendship Elementary","Davidson County Schools","B - 75","Exceeded","71.9","37"
"Ledford Middle","Davidson County Schools","C - 59","NotMet","58.5","41"
"Ledford Senior High","Davidson County Schools","B - 80","Exceeded","68.4","30"
"Midway Elementary","Davidson County Schools","B - 73","Exceeded","68.4","44"
"North Davidson High","Davidson County Schools","B - 78","Exceeded","69.5","29"
"North Davidson Middle","Davidson County Schools","C - 64","Met","62.3","38"
"Oak Grove Middle","Davidson County Schools","C - 69","Met","65.5","35"
"Pilot Elementary","Davidson County Schools","C - 65","Exceeded","59.7","56"
"Reeds Elementary","Davidson County Schools","C - 64","Met","61.5","53"
"Silver Valley Elementary","Davidson County Schools","D - 51","Met","43.0","78"
"South Davidson High","Davidson County Schools","C - 61","NotMet","46.6","51"
"Southwood Elementary","Davidson County Schools","C - 56","Met","49.4","69"
"South Davidson Middle","Davidson County Schools","C - 61","Exceeded","54.4","61"
"Tyro Elementary","Davidson County Schools","C - 67","Met","62.7","61"
"Tyro Middle","Davidson County Schools","C - 57","Met","53.7","51"
"Wallburg Elementary","Davidson County Schools","B - 78","Exceeded","73.7","35"
"Welcome Elementary","Davidson County Schools","C - 59","NotMet","56.1","52"
"West Davidson High","Davidson County Schools","C - 66","NotMet","57.4","44"
"Yadkin Valley Regional Career Academy","Davidson County Schools","C - 61","NotMet","57.9","55"
"Central Davie Academy","Davie County Schools","NA - NA","NA","25.0","89"
"Cooleemee Elementary","Davie County Schools","C - 63","Exceeded","56.4","82"
"Cornatzer Elementary","Davie County Schools","C - 69","Met","65.6","65"
"Davie County High","Davie County Schools","C - 69","NotMet","59.8","43"
"Davie County Early College High","Davie County Schools","A - 92","Met","92.7","44"
"Mocksville Elementary","Davie County Schools","C - 65","Met","63.0","60"
"North Davie Middle","Davie County Schools","C - 69","Met","64.7","43"
"Pinebrook Elementary","Davie County Schools","B - 70","Met","69.5","41"
"Shady Grove Elementary","Davie County Schools","C - 65","NotMet","66.3","20"
"South Davie Middle","Davie County Schools","C - 58","NotMet","58.3","60"
"William R Davie Elementary","Davie County Schools","C - 63","Met","59.8","59"
"William Ellis Middle","Davie County Schools","B - 72","Exceeded","68.4","30"
"Eastern NC School for the Deaf","Deaf and Blind Schools","NA - NA","NA","24.2","NA"
"Gov. Morehead School for the Blind","Deaf and Blind Schools","NA - NA","NA","35.6","NA"
"NC School for the Deaf","Deaf and Blind Schools","NA - NA","NA","13.0","NA"
"B F Grady Elementary","Duplin County Schools","D - 49","Exceeded","39.6","85"
"Beulaville Elementary","Duplin County Schools","C - 58","Exceeded","50.4","65"
"Charity Middle","Duplin County Schools","D - 51","Exceeded","42.3","76"
"Chinquapin Elementary","Duplin County Schools","C - 64","Met","58.9","62"
"Warsaw Elementary","Duplin County Schools","D - 44","Exceeded","33.8","93"
"Duplin Early College High","Duplin County Schools","B - 78","Met","62.4","71"
"E E Smith Middle","Duplin County Schools","D - 40","NotMet","33.4","76"
"East Duplin High","Duplin County Schools","C - 58","NotMet","42.8","57"
"James Kenan High","Duplin County Schools","D - 52","Met","30.0","73"
